1st Order Form Execution Date,1st Order Form Execution Date (Start Date),Abbreviated Name,Account Manager,Account Manager EMAIL Address,Account Manager Phone Number,Address Line 1,Address Line 1 (e.g. 123 ABC St.),Address Line 2,Address Line 2 (e.g. Apt 202),Billing Address 1,Billing Address 2,Billing City,Billing Contact,Billing Country,Billing Email,Billing First Name,Billing Last Name,Billing Notes,Billing Phone,Billing State,Billing Title,Billing Zip Code,City,Committment Amount,Company,Company Category,Company Description,Company Name,Company Name/DBA,Company Status,Cost Structure,Country,Customer End Category,Customer End Date,Customer Start Date,Description,Dynamic Template,EIN Number,First Order Form Execution Date (Start Date),First Placement Onboard Date,House Account,Industry,Investor,Investor Category,Investor Code,Investor Credit Amount,Investor Credit Remaining Amount,Investor Round,Investor Status,Investor Type,Late Fee Applies,Late Fee Rate (%),Lead Source,Legal Address 1,Legal Address 2,Legal Name,LinkedIn,Mailing Address 1,Mailing Address 2,NAICS Code,No Credit Investor,Non-Taxable,Payment Terms,Phone Manager,Phone Number,Phone Number (e.g. 123-456-7890 Ext 000),Preferred Payment Method,Public/Private,Referral Code,Referral Fee Amount,Referral Partner Category,Related Investor,Sales Representative,Special Contract Terms,State,Status,Stock Ticker,Sub-Industry,Support Email Address,Support Phone Number,Tax ID,Termination Notification Date,Termination Notification Date (End Date),Website,Zip Code,Entity_Type_ID,Entity_Type_Name,Entity_ID,Owned_by_SAM,Owned_by_Display_Name,Own_Datetime,Created_by_SAM,Created_by_Display_Name,Created_Datetime,Modified_by_Sam,Modified_by_Display_Name,Modified_Datetime,Assigned_to_Sam,Assigned_to_Display_Name,Assign_Datetime,Is_Active,CITY_EXD_OBJECT_ID,COMPANY_CATEGORY_EXD_OBJECT_ID,COUNTRY_EXD_OBJECT_ID,INDUSTRY_EXD_OBJECT_ID,STATE_EXD_OBJECT_ID,BILLING_CONTACT_EXD_OBJECT_ID,DYNAMIC_TEMPLATE_EXD_OBJECT_ID,COMPANY_EXD_OBJECT_ID,INVESTOR_CATEGORY_EXD_OBJECT_ID,INVESTOR_EXD_OBJECT_ID,INVESTOR_TYPE_EXD_OBJECT_ID,LEAD_SOURCE_EXD_OBJECT_ID,RELATED_INVESTOR_EXD_OBJECT_ID,SALES_REPRESENTATIVE_EXD_OBJECT_ID,SUB-INDUSTRY_EXD_OBJECT_ID,REFERRAL_CODE_EXD_OBJECT_ID,CUSTOMER_END_CATEGORY_EXD_OBJECT_ID,Own_Datetime Date,Own_Datetime Year,Own_Datetime Month,Own_Datetime Quarter,Own_Datetime YearMonth,Own_Datetime YearQuarter,Own_Datetime DateRange,Own_Datetime WeekNumber,Own_Datetime Week,Own_Datetime MonthSince,Own_Datetime WeekSince,Own_Datetime DaySince,Own_Datetime MonthsSinceCat,Modified_Datetime Date,Modified_Datetime Year,Modified_Datetime Month,Modified_Datetime Quarter,Modified_Datetime YearMonth,Modified_Datetime YearQuarter,Modified_Datetime DateRange,Modified_Datetime WeekNumber,Modified_Datetime Week,Modified_Datetime MonthSince,Modified_Datetime WeekSince,Modified_Datetime DaySince,Modified_Datetime MonthsSinceCat,Assign_Datetime Date,Assign_Datetime Year,Assign_Datetime Month,Assign_Datetime Quarter,Assign_Datetime YearMonth,Assign_Datetime YearQuarter,Assign_Datetime DateRange,Assign_Datetime WeekNumber,Assign_Datetime Week,Assign_Datetime MonthSince,Assign_Datetime WeekSince,Assign_Datetime DaySince,Assign_Datetime MonthsSinceCat,1ST_ORDER_FORM_EXECUTION_DATE Date,1ST_ORDER_FORM_EXECUTION_DATE Year,1ST_ORDER_FORM_EXECUTION_DATE Month,1ST_ORDER_FORM_EXECUTION_DATE Quarter,1ST_ORDER_FORM_EXECUTION_DATE YearMonth,1ST_ORDER_FORM_EXECUTION_DATE YearQuarter,1ST_ORDER_FORM_EXECUTION_DATE DateRange,1ST_ORDER_FORM_EXECUTION_DATE WeekNumber,1ST_ORDER_FORM_EXECUTION_DATE Week,1ST_ORDER_FORM_EXECUTION_DATE MonthSince,1ST_ORDER_FORM_EXECUTION_DATE WeekSince,1ST_ORDER_FORM_EXECUTION_DATE DaySince,1ST_ORDER_FORM_EXECUTION_DATE MonthsSinceCat,CUSTOMER_END_DATE Date,CUSTOMER_END_DATE Year,CUSTOMER_END_DATE Month,CUSTOMER_END_DATE Quarter,CUSTOMER_END_DATE YearMonth,CUSTOMER_END_DATE YearQuarter,CUSTOMER_END_DATE DateRange,CUSTOMER_END_DATE WeekNumber,CUSTOMER_END_DATE Week,CUSTOMER_END_DATE MonthSince,CUSTOMER_END_DATE WeekSince,CUSTOMER_END_DATE DaySince,CUSTOMER_END_DATE MonthsSinceCat,CUSTOMER_START_DATE Date,CUSTOMER_START_DATE Year,CUSTOMER_START_DATE Month,CUSTOMER_START_DATE Quarter,CUSTOMER_START_DATE YearMonth,CUSTOMER_START_DATE YearQuarter,CUSTOMER_START_DATE DateRange,CUSTOMER_START_DATE WeekNumber,CUSTOMER_START_DATE Week,CUSTOMER_START_DATE MonthSince,CUSTOMER_START_DATE WeekSince,CUSTOMER_START_DATE DaySince,CUSTOMER_START_DATE MonthsSinceCat,FIRST_PLACEMENT_ONBOARD_DATE Date,FIRST_PLACEMENT_ONBOARD_DATE Year,FIRST_PLACEMENT_ONBOARD_DATE Month,FIRST_PLACEMENT_ONBOARD_DATE Quarter,FIRST_PLACEMENT_ONBOARD_DATE YearMonth,FIRST_PLACEMENT_ONBOARD_DATE YearQuarter,FIRST_PLACEMENT_ONBOARD_DATE DateRange,FIRST_PLACEMENT_ONBOARD_DATE WeekNumber,FIRST_PLACEMENT_ONBOARD_DATE Week,FIRST_PLACEMENT_ONBOARD_DATE MonthSince,FIRST_PLACEMENT_ONBOARD_DATE WeekSince,FIRST_PLACEMENT_ONBOARD_DATE DaySince,FIRST_PLACEMENT_ONBOARD_DATE MonthsSinceCat,TERMINATION_NOTIFICATION_DATE Date,TERMINATION_NOTIFICATION_DATE Year,TERMINATION_NOTIFICATION_DATE Month,TERMINATION_NOTIFICATION_DATE Quarter,TERMINATION_NOTIFICATION_DATE YearMonth,TERMINATION_NOTIFICATION_DATE YearQuarter,TERMINATION_NOTIFICATION_DATE DateRange,TERMINATION_NOTIFICATION_DATE WeekNumber,TERMINATION_NOTIFICATION_DATE Week,TERMINATION_NOTIFICATION_DATE MonthSince,TERMINATION_NOTIFICATION_DATE WeekSince,TERMINATION_NOTIFICATION_DATE DaySince,TERMINATION_NOTIFICATION_DATE MonthsSinceCat,ENTITY_URL
REF-4027,,Chen Patel,Casey Blake,,,SKU-6925,REF-5349,,LOT-7905,,,,LOT-3565,,taylor.kim@demomail.test,,,,,SKU-3916,,,TAG-3768,,,Active Customer,Discussed timeline and next steps with the account.,Silverline Manufacturing Ltd,Cardinal Foods Ltd,Active,,Canada,,TAG-8019,,Reviewed performance and gathered feedback.,SMB,,,SKU-5015,Y,Financial Services,,,,,,,,,,,Inbound Call,LOT-8248,,Nina Whitfield,REF-9360,SKU-6462,LOT-8205,,,,Alpha,,SKU-4219,TAG-1085,,Standard,,,,,Avery Sloan,,Florida,Y,,SKU-6245,,,,,,REF-2426,2220,100001,Company,100003,rahul.okafor@examplecorp.test,Morgan Ford,2024-03-28 03:28:00,yara.sloan@sampleco.test,Casey Costa,2023-01-25 05:45:00,marco.ford@demomail.test,Marco Whitfield,2025-12-28 23:21:00,avery.cohen@examplecorp.test,,2026-06-09 10:49:00,N,100001,100001,100001,100001,100001,,100001,100001,,,,100001,100001,100001,100001,100001,100001,2026-06-26 20:49:00,7227,595,Beta,Gamma,Standard,TAG-2546,4038,9719,597,2367,354,Other,2024-09-14 11:50:00,1128,9999,Beta,Standard,Alpha,Standard,9208,1092,7176,3273,3069,Standard,2025-09-22 07:33:00,,,,,,,,,,2277,,,2025-01-31,,,,REF-4216,,,,,,,,,2024-12-06,,6998,,TAG-7241,,,,,,8419,,Other,2022-10-13,,,,REF-5844,,REF-1798,,,,,4501,,2023-10-20,,,,,Delta,,,2021,,,,,2025-05-16,,892,,,,,,,,,3601,,Resolved the outstanding question about scope.
,,Emerson Calder,Liam Ashby,,,SKU-4581,SKU-6334,TAG-9829,,,,,SKU-4205,,arjun.vance@sampleco.test,,Mei Calder,,,,,,LOT-4607,,,Active Customer,Noted a concern to revisit at the next sync.,Evergreen Manufacturing Inc,Horizon Manufacturing Inc,Inactive,Alpha,Philippines,,,,Followed up on the open items from last week.,SMB,,,,N,Professional Services,,,,,,,,,,,LinkedIn,,LOT-9864,Chen Kim,,TAG-2289,,9606,,,Delta,,LOT-2177,TAG-6033,,Alpha,,,,,Reese Silva,,New York,N,,LOT-3028,,,,,,REF-1770,3909,100001,Company,100005,casey.cohen@examplecorp.test,Rowan Rossi,2023-10-23 00:07:00,arjun.calder@demomail.test,Liam Nguyen,2025-01-23 16:49:00,drew.vance@acme-fake.test,Chen Ford,2026-02-12 21:57:00,drew.haddad@sampleco.test,,2026-04-08 17:49:00,Y,100001,100001,,100001,100001,100001,100001,100001,,100001,100001,100001,100001,100001,100001,100001,100001,2026-01-29 08:29:00,7038,7464,Beta,Other,Beta,SKU-5602,3988,4000,3274,237,9065,Gamma,2024-07-02 10:35:00,2216,5193,Gamma,Alpha,Standard,Alpha,7040,6064,2005,1379,454,Alpha,2024-03-05 00:05:00,,,,REF-6597,,LOT-1412,,,,,7035,Other,2025-04-13,,,,,,,613,8394,,,,,2025-12-19,,,,,,,,,,,,,2024-11-14,,,Gamma,,,,,,321,,9878,,2025-12-20,,,Delta,,,,,,,,,,2023-07-18,,4389,,TAG-7965,,,5120,,,,,,Discussed timeline and next steps with the account.
,,Diego Mercer,Arjun Rossi,,,SKU-9982,TAG-1020,LOT-5008,,SKU-7219,,SKU-5502,,,omar.calder@acme-fake.test,,,,,,Jordan Mercer,"70,287",,,,Active Customer,Scheduled a check-in for the coming month.,Lakeside Industries Inc,Atlas Group Co,Inactive,Beta,United Kingdom,,,,Shared the updated proposal for review.,Enterprise,,,,Y,Healthcare,,,,,,,,,,,LinkedIn,,,Arjun Mensah,SKU-7221,SKU-7035,SKU-6593,1222,,,Standard,,SKU-9660,REF-6663,,Standard,,,,,Jordan Haddad,,Arizona,N,,LOT-2672,,,,,LOT-4301,TAG-7392,,100001,Company,100007,aisha.silva@examplecorp.test,Jordan Cohen,2026-05-30 19:35:00,sofia.calder@acme-fake.test,Chen Dorsey,2023-03-24 03:13:00,taylor.ashby@demomail.test,Omar Mensah,2023-02-24 08:34:00,marco.vance@sampleco.test,Noah Ford,2025-03-07 08:59:00,Y,100001,100001,100001,100001,,100001,100001,100001,,100001,,100001,100001,100001,100001,,100001,2023-01-24 06:18:00,114,1388,Delta,Delta,Delta,SKU-3720,98,2494,3992,4076,8050,Delta,2023-04-26 11:10:00,2890,6036,Alpha,Standard,Beta,Beta,2463,4904,2679,299,1325,Delta,2025-01-11 00:34:00,,,,,,LOT-5255,,,,7593,,Other,2026-04-19,,,,,,,,3196,8940,,,,2022-11-12,,,,,,,,,4090,,,,2024-01-30,,,,,,,,,,,,,2023-09-23,,,,,,REF-3462,,,,,,,2026-04-23,,3384,,,,,3613,,,,,,Discussed timeline and next steps with the account.
,,Jordan Patel,Taylor Mensah,,,LOT-5600,REF-1710,TAG-4879,,,,SKU-7168,,Delta,jamie.haddad@demomail.test,,,,,,Avery Vance,,TAG-5016,,,Referral Partner,Scheduled a check-in for the coming month.,Falcon Systems Ltd,Horizon Health LLP,Active,Delta,Australia,,,,Aligned on billing and renewal terms.,Enterprise,,,LOT-4856,,Financial Services,,,,,,,,,,,Website,,LOT-7828,Yara Larsson,SKU-4920,REF-8161,,,,,Other,,,TAG-7176,,,,,,,Avery Ford,,Arizona,Y,TAG-1547,LOT-8390,,,,,,TAG-8545,8967,100001,Company,100009,mei.ivanov@demomail.test,Riley Larsson,2024-06-25 14:48:00,noah.rossi@demomail.test,Diego Mercer,2026-04-18 20:20:00,marco.larsson@sampleco.test,Casey Sato,2026-02-24 13:34:00,arjun.kim@acme-fake.test,Diego Mensah,2023-09-21 21:52:00,Y,100001,100001,100001,100001,100001,,100001,100001,100001,,100001,100001,100001,100001,100001,,100001,2026-07-30 20:49:00,9474,4727,Other,Alpha,Alpha,LOT-4106,9235,9761,1067,8121,7939,Standard,2025-11-06 23:11:00,1675,2883,Alpha,Beta,Other,Beta,8689,8776,4310,3933,7874,Beta,2024-07-04 18:09:00,,,,,,,,,,,,,2025-03-23,,,,,,,8033,,,,,,2025-09-16,,,,,,,,,4029,,,,2025-06-25,,,,,,,,,,,2441,,2023-10-02,,935,,,Gamma,,,,,4470,,Alpha,2025-06-20,,,,,,,,,,,,,Shared the updated proposal for review.
,,Quinn Larsson,Elena Sato,,,SKU-6940,SKU-9787,,,,,SKU-4907,REF-6637,,marco.mensah@acme-fake.test,Casey Brooks,,,,,,"93,802",TAG-9519,"146,506",,Past Customer,Followed up on the open items from last week.,Vertex Solutions Inc,Falcon Retail Corp,Active,Other,Philippines,,,,Aligned on billing and renewal terms.,Standard,,,,N,Real Estate,,,,,,,Y,,,,Inbound Call,,,Jordan Sloan,SKU-2993,LOT-9373,,,,,Beta,,REF-4267,LOT-7717,,,,,,,Rahul Sloan,,Washington,N,,TAG-7746,,,,,LOT-3363,,,100001,Company,100012,emerson.costa@acme-fake.test,Taylor Ivanov,2023-09-02 20:56:00,rahul.nguyen@acme-fake.test,Marco Reyes,2023-05-21 10:10:00,skyler.patel@examplecorp.test,Fatima Sato,2022-11-23 00:42:00,rowan.cohen@demomail.test,,2026-06-21 16:39:00,Y,,100001,100001,100001,100001,,100001,100001,100001,100001,100001,100001,,100001,100001,,100001,2022-11-22 23:04:00,594,7180,Alpha,Gamma,Gamma,REF-7305,4391,8480,752,9767,797,Standard,2025-09-09 15:23:00,5310,3799,Beta,Other,Standard,Other,1247,645,9158,9128,3184,Standard,2023-01-22 05:47:00,6216,,Standard,LOT-7557,Standard,REF-1844,,,,,,,2023-05-24,632,,,,,,,,,,,,2026-04-18,,4236,Standard,,,,,,3883,,9870,Gamma,2023-12-06,,,,TAG-5144,,,,,2667,,,,2025-10-01,3958,,,,,,,,,,,,2026-03-08,,,Beta,,,,,,,,,,Aligned on billing and renewal terms.
,,Taylor Cohen,Morgan Mercer,,,REF-1117,REF-8756,,SKU-4281,,,SKU-8804,,Beta,jamie.calder@examplecorp.test,,,,,,,,,,,Past Customer,Shared the updated proposal for review.,Everest Financial Ltd,Redwood Robotics Inc,Active,Other,India,,,,Followed up on the open items from last week.,New Logo,,,REF-2259,Y,Hospitality,,,,,,Standard,,,,,Inbound Call,TAG-3336,TAG-8746,Marco Ivanov,REF-6198,SKU-4957,TAG-4535,9684,,,Gamma,,SKU-8080,SKU-4012,,Gamma,,,,,Fatima Silva,,Ohio,Y,,LOT-4267,,,,,LOT-9477,SKU-7688,1820,100001,Company,100014,sofia.costa@demomail.test,Drew Calder,2023-04-08 21:55:00,diego.rossi@sampleco.test,Omar Ashby,2026-06-24 12:39:00,casey.ivanov@sampleco.test,Arjun Kim,2023-11-07 17:39:00,emerson.dorsey@sampleco.test,,2023-04-25 16:15:00,N,100001,100001,100001,100001,,,100001,100001,,100001,100001,100001,100001,100001,100001,100001,100001,2023-06-06 13:25:00,2546,8468,Delta,Delta,Beta,SKU-7285,4088,2495,6985,4709,1105,Gamma,2023-02-10 21:50:00,9551,714,Gamma,Standard,Standard,Other,885,9609,2293,836,9123,Alpha,2024-01-20 11:13:00,,214,Standard,TAG-7649,,,,,,,,Other,2025-08-25,,,,,Delta,,,,,,,,2024-01-11,,,,,,,7444,,621,,,,2025-08-01,,,,,Alpha,SKU-1772,,,,,,,2026-05-18,,,,,,,,,4774,,,,2026-02-18,,,Standard,,,,,,,,,,Noted a concern to revisit at the next sync.
,,Rahul Ashby,Reese Ivanov,,,TAG-4472,REF-6038,TAG-8272,SKU-2452,,REF-8965,,,,mei.dorsey@acme-fake.test,,Jamie Nguyen,,,REF-4200,,,TAG-2442,,,Prospect,Followed up on the open items from last week.,Silverline Manufacturing Group,Atlas Logistics LLC,Active,Delta,United States,Other,,,Aligned on billing and renewal terms.,Enterprise,,,,Y,Hospitality,,,,"199,534",,,,,,,Referral,,,Avery Dorsey,REF-2309,SKU-3294,,,,,Beta,,REF-6943,SKU-6848,,Standard,,,,,Sofia Ivanov,,Texas,N,,LOT-2843,,,,LOT-5191,,LOT-5070,4351,100001,Company,100016,reese.blake@examplecorp.test,Drew Nguyen,2025-06-11 15:31:00,diego.nguyen@examplecorp.test,Quinn Patel,2024-01-19 06:08:00,jordan.costa@demomail.test,Mei Blake,2023-08-04 00:28:00,mei.haddad@acme-fake.test,,2024-08-08 02:50:00,N,100001,100001,100001,100001,100001,,100001,100001,100001,100001,,,,100001,100001,100001,100001,2024-05-26 10:21:00,4501,2391,Delta,Other,Beta,REF-6935,9179,4105,998,7013,8575,Other,2023-01-24 01:30:00,4834,2812,Beta,Standard,Gamma,Alpha,3955,4183,4082,3173,113,Other,2025-03-13 18:01:00,,1093,,,Delta,,,,,,,,2024-07-05,,,,,,,,,,,,Standard,2025-05-24,,,,,,,,4154,,,7459,,2022-10-21,,,,,,,,,,,,,2023-07-26,9200,,Delta,,,SKU-7655,,,,,,Other,2025-08-21,3250,,,,,,,,3623,,4779,,Scheduled a check-in for the coming month.
,TAG-9940,Mei Silva,Quinn Silva,,,,TAG-6721,,LOT-5419,,,,,,taylor.brooks@acme-fake.test,,,,,,Drew Garcia,"31,504",SKU-7113,,,Active Customer,Discussed timeline and next steps with the account.,Falcon Energy Corp,Falcon Financial Corp,Active,Gamma,United States,,,TAG-5887,,New Logo,,,,Y,Energy,,,,,,,,,,,Website,REF-1420,,Jamie Ford,LOT-1550,LOT-4063,SKU-6220,,,,,,TAG-9702,TAG-4644,,Other,,,,,Chen Nguyen,,Colorado,Y,,REF-2972,,,,,LOT-4723,TAG-3620,4065,100001,Company,100019,reese.patel@sampleco.test,Liam Haddad,2023-03-23 18:51:00,fatima.patel@sampleco.test,Yara Calder,2023-07-21 00:06:00,skyler.ford@sampleco.test,Elena Mercer,2024-12-14 20:36:00,diego.reyes@demomail.test,,2022-12-03 16:43:00,Y,100001,100001,100001,100001,100001,,100001,100001,100001,,100001,100001,100001,100001,100001,100001,100001,2022-10-22 14:26:00,680,5397,Beta,Standard,Standard,TAG-1321,6637,7292,5320,4418,4890,Alpha,2024-05-03 15:53:00,1668,9371,Gamma,Gamma,Beta,Standard,6109,7892,4252,4691,4127,Gamma,2025-09-21 14:42:00,,,,,,,,,,,7282,Alpha,2026-01-24,,,,,,,,,,6146,,,2022-11-20,,,,REF-5161,,,,,,,,,2025-07-09,,,,,,,,,,,,,2023-07-27,,,,,,,,8253,,,,,2026-02-10,8564,,,,,,,,,,,,Discussed timeline and next steps with the account.
,SKU-1557,Priya Larsson,Quinn Larsson,,,TAG-4396,REF-8583,REF-2079,SKU-1215,,,,,,taylor.mercer@sampleco.test,,,,,,,,SKU-1845,,,Active Customer,Shared the updated proposal for review.,Copper Logistics Ltd,Everest Capital Inc,Inactive,Standard,Mexico,,,,Discussed timeline and next steps with the account.,Standard,,,,Y,Hospitality,,,,,,,,,,,Inbound Call,REF-9000,TAG-5980,Alex Rossi,LOT-1506,SKU-9070,SKU-9528,,,,Delta,,SKU-4184,LOT-4727,,Other,,,,Beta,Omar Sato,,Georgia,Y,,LOT-7307,,,,,,LOT-6752,459,100001,Company,100021,taylor.kim@acme-fake.test,Avery Reyes,2025-08-07 00:13:00,taylor.okafor@acme-fake.test,Jamie Costa,2023-04-27 15:37:00,quinn.silva@acme-fake.test,Quinn Kim,2025-08-30 02:09:00,alex.sato@demomail.test,,2025-12-19 11:57:00,N,100001,100001,100001,100001,100001,,100001,100001,,100001,100001,100001,100001,100001,100001,,100001,2025-09-28 03:01:00,8543,4190,Standard,Beta,Alpha,REF-2835,4942,637,3954,994,2628,Alpha,2023-07-11 02:19:00,1738,2810,Other,Beta,Delta,Beta,6835,6317,1605,2020,84,Standard,2026-06-26 05:43:00,,,,REF-4687,,,5475,,,5864,,,2023-03-29,,8272,,SKU-6945,,,,,,,,,2024-08-04,,,,,,,,,,,,,2024-03-28,,,Gamma,,Other,,,,,7364,,Standard,2026-01-31,,,,,,,,,,,,,2024-05-16,,,,,,,,6224,,,7847,,Followed up on the open items from last week.
,,Rahul Okafor,Elena Cohen,,,SKU-6035,TAG-5896,,LOT-3882,REF-1118,,,,,emerson.ivanov@acme-fake.test,,,,,,,"35,237",TAG-4361,"209,319",,Active Customer,Followed up on the open items from last week.,Meridian Manufacturing,Meridian Foods Ltd,Active,Delta,Germany,,,TAG-4515,Noted a concern to revisit at the next sync.,New Logo,,,,,Healthcare,,,,,,,,,,,Website,LOT-2790,REF-9122,Chen Garcia,SKU-7355,LOT-7444,TAG-8036,,,,Beta,,TAG-5168,,,Alpha,,,,,Riley Ashby,,New York,N,,SKU-3914,,,,,,REF-5926,,100001,Company,100022,liam.patel@sampleco.test,Sofia Patel,2024-02-22 23:41:00,omar.cohen@examplecorp.test,Omar Ford,2024-01-22 08:17:00,casey.larsson@acme-fake.test,Nina Haddad,2022-12-14 03:12:00,skyler.silva@demomail.test,,2023-11-28 15:35:00,Y,100001,100001,100001,100001,100001,,100001,100001,,100001,,100001,100001,100001,100001,100001,100001,2025-04-06 10:41:00,8710,6012,Delta,Other,Gamma,SKU-6266,9448,4435,8367,5757,8503,Beta,2024-02-04 08:11:00,3413,6218,Beta,Delta,Alpha,Delta,3014,9489,3077,1823,9649,Beta,2025-02-03 04:28:00,,,,REF-1860,,,4379,,,,4093,,2023-09-24,,,,,,,,,,9923,,,2023-05-27,,,,,,LOT-1654,,,,,,,2025-08-08,,,,SKU-8997,,REF-4366,,1022,,9125,,,2025-04-16,,,,,,,,,,,,,2024-05-25,,,,,,REF-3178,,,,,,,Noted a concern to revisit at the next sync.
